logits,labels,entries
-0.3837562,0.0,8301
-1.0088674,0.0,6665
-5.219006,0.0,6545
-2.2309701,0.0,4330
-2.447765,0.0,5061
-3.437311,0.0,13000
0.82661253,1.0,8699
-3.2289946,0.0,12976
-2.965373,0.0,11421
-1.1193058,1.0,1182
-2.8689644,0.0,13425
-1.0800698,0.0,178
-0.58084315,0.0,8698
-0.5893507,0.0,12438
-0.7309866,0.0,6550
-0.32718417,0.0,8128
-4.7344923,0.0,9175
-0.045025736,1.0,7932
-5.0646777,0.0,1934
-4.3436084,0.0,697
0.59781384,1.0,4928
-2.52542,0.0,12662
-3.605251,0.0,13025
-1.9981081,0.0,8248
-2.2066631,1.0,1324
-2.4266083,0.0,3149
-2.520181,0.0,3851
0.17645258,0.0,7200
-3.1922219,0.0,168
-2.7705162,0.0,13295
-3.4404066,0.0,3870
-2.1555297,0.0,3756
-2.49455,0.0,12215
-3.623715,0.0,5304
-3.2426922,0.0,471
-3.0898697,0.0,411
-1.6061125,1.0,13448
4.0494547,0.0,10596
-2.0838392,0.0,13125
-5.806945,0.0,647
1.2219446,0.0,572
-0.722441,0.0,2379
-2.1506364,0.0,15002
-3.5780234,0.0,12064
-2.9280083,0.0,13424
-2.0877917,0.0,7254
-0.74152976,0.0,9377
-1.2943493,0.0,4316
-3.6205075,0.0,6770
-5.2019176,0.0,8206
1.6714319,1.0,2684
-2.1777914,0.0,15345
-1.0783484,0.0,6792
-0.37709782,0.0,3351
-2.9539344,0.0,14556
-5.2336917,0.0,10405
0.32015577,0.0,11873
-2.7744334,0.0,4090
-3.5241454,0.0,16500
-2.5845919,0.0,3601
0.040938027,0.0,2456
-2.8653338,0.0,1343
-0.41786912,0.0,8730
-2.1144812,0.0,3533
-2.0172164,0.0,801
-3.2861447,0.0,5602
3.1122699,1.0,15254
-1.1835248,0.0,8201
-3.4130433,0.0,2210
-1.4667175,0.0,1324
-1.1654224,0.0,11289
-2.5417593,0.0,1387
0.3078644,0.0,14940
0.9659493,0.0,12895
-0.37794542,0.0,1513
-3.0262585,0.0,13295
-1.6836908,0.0,1589
-3.5351455,0.0,5433
-4.7929087,0.0,14590
-0.24585596,0.0,3546
-4.5292563,0.0,11153
-1.9338095,0.0,3445
-0.09830885,0.0,2046
-2.8429291,0.0,2846
-4.021247,0.0,8926
-0.24190196,1.0,11675
0.33938986,0.0,15875
-3.0900989,0.0,11840
-2.2533433,0.0,5997
-1.5651836,0.0,271
-2.7855198,0.0,4265
-4.280152,0.0,9221
-1.729903,1.0,4456
-0.18486127,0.0,699
-6.000729,0.0,2426
-3.1996448,0.0,9557
-3.5360305,0.0,5431
-4.9212437,0.0,4771
-1.4090924,0.0,6774
0.3380484,0.0,7486
0.009803824,0.0,1513
-1.2931483,0.0,3777
-1.2302029,0.0,12499
-3.1090612,0.0,3652
0.53907543,0.0,1437
1.056691,0.0,4926
-1.1697798,0.0,647
-0.06313389,0.0,5414
-3.871762,0.0,2230
-5.184852,0.0,16624
-2.0234478,0.0,15477
-0.73983747,0.0,14602
-1.8479314,0.0,4265
0.40510306,0.0,13006
-0.3578023,0.0,6603
-3.6373243,0.0,5812
-2.4972193,0.0,697
-1.1253521,0.0,10506
-3.4080467,0.0,4562
1.5537049,0.0,6231
2.7555172,1.0,3128
2.8809617,1.0,13753
-2.4406507,0.0,8415
-6.524033,0.0,3542
-4.412318,0.0,2209
-5.478193,0.0,4720
-5.1230264,0.0,10302
-1.1319835,0.0,697
-1.6206235,0.0,15025
-3.3084614,0.0,1289
-1.8503935,0.0,3968
-3.3462102,0.0,11680
-1.2493992,0.0,9151
-0.7860286,0.0,3755
-3.0395072,0.0,17
-2.5103664,0.0,1245
-2.4000373,0.0,12063
-3.028947,0.0,8906
-2.1168416,0.0,4729
0.09404146,1.0,4425
-1.7991722,1.0,10047
-1.0093061,0.0,17108
-2.7436962,0.0,254
-2.7202396,0.0,1859
-3.4274938,0.0,14783
0.83314836,0.0,4711
-4.158964,0.0,1589
-0.32745433,0.0,6608
-1.0778865,0.0,12388
-1.8664234,0.0,3756
1.3411524,0.0,10126
-3.1142921,0.0,10172
-3.0715785,0.0,11563
-3.9254842,0.0,1173
-5.681639,0.0,7921
-2.7224731,0.0,8799
-3.9852247,0.0,10897
1.0032998,0.0,17427
1.0161918,1.0,3717
-1.8212981,0.0,3568
-2.3781035,0.0,1112
1.8688604,0.0,3350
-3.770311,0.0,963
-1.2735641,0.0,294
-1.9558874,0.0,8067
-1.8482077,0.0,11902
-4.8784623,0.0,1880
-3.4162147,0.0,1323
-2.9391766,0.0,997
2.5677445,0.0,10569
-2.034504,0.0,1346
-2.5388317,0.0,10046
-1.227712,0.0,5619
-2.9402664,0.0,12643
3.119743,1.0,9928
0.30639187,1.0,8922
-2.2266028,0.0,4450
-0.5007972,0.0,16731
-2.009191,0.0,6747
-2.804421,0.0,8949
-0.44437915,0.0,10642
-5.86956,0.0,11691
0.028845213,0.0,15317
-2.5373938,0.0,4260
-2.2773058,0.0,2100
-3.6651206,0.0,12469
