N epoch,device,progress,patience,epochs,verbose,geometric_dim,encoder_hidden_dim,encoder_depth,dropout,batch_norm,dense_activation,gnn_activation,gnn_depth,dense_depth,dense_dim,gnn_hidden_dim,model_seed,total_params,reduction,total_samples,use_folds,train_samples,train_folds,valid_samples,valid_folds,test_samples,test_folds,optimizer,lr,scheduler,scheduler_gamma,scheduler_step,loss_fn,pos_weight,loss_reduction,train_batch_size,train_shuffle,train_num_workers,valid_batch_size,valid_shuffle,valid_num_workers,test_batch_size,test_shuffle,test_num_workers,train_cumulated_loss,train_mean_loss,cumulated_loss,mean_loss,average_precision,roc_auc,tp,fp,fn,tn,f1,accuracy,balanced_accuracy,recall,precision,jaccard,At epoch
1,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,221.37462,0.9035698771476746,52.980278,0.9996279,0.212374458096286,0.754310401325068,2307,10073,1726,40133,0.2811186254798026,0.782462803517764,0.6856986779556251,0.5720307463426729,0.1863489499192245,0.1635474266269672,
2,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,207.42876,0.8466479778289795,50.660892,0.9558659,0.2609433474611297,0.777852371956772,2916,16636,1117,33570,0.2472758108967564,0.6726893932410258,0.6958400717089233,0.7230349615670717,0.1491407528641571,0.1410808457109681,
3,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,204.06262,0.8329086899757385,50.549904,0.95377177,0.2750152041732748,0.7769655273681805,2373,9963,1660,40243,0.2899382980023214,0.785707701100684,0.6949766589718793,0.588395735184726,0.192363813229572,0.1695484424121177,
4,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,202.44005,0.8262858986854553,49.840405,0.940385,0.2659108566276268,0.7819594774611665,2818,14912,1215,35294,0.2589716491292561,0.7026678220468666,0.7008595699035125,0.6987354326803868,0.1589396503102086,0.148746371074162,
5,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,200.85349,0.819810152053833,49.499893,0.93396026,0.2843008373721158,0.7827438506045398,2619,12407,1414,37799,0.2748307886038092,0.745183355150353,0.7011353269162837,0.6493925117778329,0.1742978836683082,0.1593065693430657,
6,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,200.20761,0.8171738982200623,49.361652,0.93135196,0.2873049021678413,0.7862573664886485,2820,14215,1213,35991,0.2677045756597683,0.715555227788123,0.7080489257060316,0.6992313414331763,0.1655415321397123,0.1545374835598421,
7,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,199.38338,0.8138096928596497,49.317272,0.9305146,0.285299780462273,0.7846815331101176,2585,11667,1448,38539,0.2827454197429587,0.7581998193182028,0.704289739612741,0.6409620629804116,0.1813780522031995,0.1646496815286624,
8,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,198.82617,0.8115354180335999,49.737095,0.93843573,0.28790364995642,0.7878073554411812,2956,16980,1077,33226,0.2466519254036464,0.6670845701432548,0.6973732738844698,0.7329531366228614,0.1482744783306581,0.1406748203493075,
9,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,198.58908,0.8105676770210266,49.201336,0.9283271,0.2914550411528414,0.7866533472472782,2716,13048,1317,37158,0.2743850078294691,0.7351536717122366,0.7067774150119657,0.673444086288123,0.172291296625222,0.1590070838943856,
10,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,198.04196,0.8083345293998718,49.230236,0.9288724,0.2892585611210841,0.7873082784867335,2825,14436,1208,35770,0.2653329576406499,0.711572853481812,0.7064678794875157,0.70047111331515,0.1636637506517583,0.1529590123991553,
