ec,f1,auc,ap,acc,bacc,prec,rec,jac,n
1,0.3986181055671095,0.893127123011889,0.43432617720565136,0.8793424510148766,0.7955868498087015,0.2784822286263208,0.7010458859802914,0.24892132660727703,869958.0
3,0.43043913424246216,0.8963043427521972,0.5056197913456161,0.8666162723752852,0.8094198882982799,0.30294091749581753,0.743249081875135,0.2742417599936232,682617.0
2,0.46486908806802696,0.9112157997913597,0.6005936660042698,0.8831364908807021,0.8270099846454972,0.33440364574256737,0.762259916181699,0.3028204855069891,1512123.0
5,0.3623765617327732,0.8706879269711681,0.366083866724861,0.8678434521049835,0.7731054957837302,0.24885724990633196,0.6663322632423756,0.2212819829424307,88433.0
6,0.3720076737008925,0.8829728509763966,0.3726478478140449,0.871942715243052,0.7819196596792257,0.25595408895265426,0.6806043033725011,0.22850701916179936,117588.0
-,0.4104185313221057,0.8594396957696299,0.4622075552123205,0.8407818875288274,0.7711011249109447,0.29242578486093074,0.6880403061505423,0.25819282585337633,450960.0
4,0.3703495215188578,0.8850497298355381,0.38892547020966367,0.8700739176346357,0.7872884001374101,0.25252983460115846,0.6942632386799693,0.2272570262207568,189400.0
7,0.3114400246685168,0.8332444118085637,0.29427383202419527,0.8864133475761737,0.7237748907398578,0.21814254859611232,0.5441810344827587,0.18444119795471148,19659.0
1.1,0.4262569407469385,0.8967627570935287,0.46745779982403085,0.8815358097788317,0.7983117500223701,0.305820076946165,0.7031808770939205,0.2708554857419043,254693.0
3.6,0.4491461711953603,0.8956650292413382,0.5260354812968266,0.8556949026172708,0.8206729439080511,0.3154678836797043,0.7794240984064859,0.28961218836565095,142171.0
2.2,0.29382470119521914,0.911207117604421,0.20964445798548123,0.9153887463452474,0.7652026685968919,0.19395134779750164,0.6057494866529775,0.1722124927028605,16759.0
2.7,0.5203069958333534,0.9285578749306413,0.6882185076687941,0.8867535137441059,0.8526528584077098,0.38268977900943063,0.8124784246626743,0.35163171980149144,881396.0
3.2,0.3756055363321799,0.8986036265910953,0.39044755794444064,0.8962975733804578,0.7855500985752569,0.26197658983950767,0.663305835624809,0.2312280328043455,69603.0
5.1,0.390625,0.8753504357617075,0.37322569944177314,0.8581464180009272,0.7842902140753396,0.27098831030818277,0.6993965990126165,0.24271844660194175,28043.0
2.5,0.40021606348942534,0.9034741165624773,0.4158770140412298,0.8884458148826498,0.801366232421006,0.2795773830256589,0.7039906446425961,0.2501688223988364,129399.0
5.6,0.3266391021854696,0.8683860419462017,0.3087704343078391,0.9079494529452138,0.7400159555452749,0.2309941520467836,0.5574596774193549,0.19519943522767386,24769.0
2.3,0.381020605958451,0.8525771501435311,0.37665004172906225,0.8555170853579368,0.7509374823988595,0.2732547597461469,0.6291399944336209,0.2353461738677772,101666.0
6.1,0.4211679974949115,0.8928863171017786,0.4133739363363154,0.8865115422396856,0.78362075159824,0.30792124542124544,0.6661713719663199,0.26675922253074175,32576.0
4.2,0.39405322051322605,0.8887666443027615,0.4189342139850403,0.8697285764074839,0.796068520956996,0.2723397278242335,0.7124678295682013,0.24537128225329918,117639.0
1.3,0.38896538625896204,0.8870680919839393,0.3863076742767302,0.8695449430798706,0.7910255137575102,0.2690135294890319,0.7019708654670094,0.24143825523135867,98647.0
2.4,0.32355846190524845,0.8475602186813592,0.324647751568187,0.887136094741807,0.7455161332513671,0.2229523586012673,0.589622641509434,0.19300312868229652,175973.0
3.1,0.39553439289621,0.8855569843245911,0.4799853203244565,0.8666950475379595,0.7891573079272789,0.2755513717052179,0.7005926601322088,0.2465209544816523,140940.0
1.5,0.4506136988422968,0.8976360678755105,0.5583193849644728,0.8373753581661891,0.8165902423854736,0.314949123186837,0.7915929805468643,0.29083366653338666,87250.0
1.14,0.3938645716423494,0.9008863797265654,0.43183549699260926,0.896387437568347,0.797854655200665,0.2758042544273289,0.6886446886446886,0.24522500698779465,156371.0
4.4,0.29134150873281306,0.8248618156659699,0.30489582242747054,0.8224064071521698,0.7267551533452723,0.19056878949927078,0.6182965299684543,0.17050891692040018,10738.0
3.4,0.45746477095201277,0.9021803047986341,0.5392487163905534,0.8643003461464077,0.8163660147836189,0.32722306250987654,0.7599349900387963,0.2965668221622064,253361.0
6.3,0.3508920386432551,0.875696870753656,0.35346949043391485,0.8642490561585654,0.7753968952318767,0.23697494999523763,0.6757197175448126,0.21277687505345078,67808.0
5.3,0.35393411380343043,0.8586190765603992,0.41481864519183753,0.8169828782970847,0.7731366373832809,0.23440317345834835,0.7222222222222222,0.2150181938471717,12966.0
3.5,0.39868287740628167,0.8932550846850746,0.4627651651941723,0.8620141821986282,0.8042307312547043,0.2730742539902845,0.7382739212007504,0.24897184435305283,51614.0
2.1,0.3920156394690812,0.8767142543335414,0.4361066167399619,0.8661001586222524,0.7826969459750803,0.27420593033298146,0.6873120865904991,0.24379319170719221,132390.0
7.1,0.40458937198067635,0.8629582203221785,0.42018228320374934,0.8212148685403445,0.7706967956926365,0.2829391891891892,0.7097457627118644,0.25359576078728235,5515.0
5.5,0.32274590163934425,0.8359488267883651,0.352766713710353,0.7797767782775279,0.7375744700958021,0.21084337349397592,0.6877729257641921,0.19242516799022602,6003.0
1.2,0.35189756248071585,0.9048141754512944,0.33688806949061195,0.9082460604339802,0.7788009067732737,0.24289213076349697,0.6383991043940667,0.2135168023963306,91571.0
3.7,0.36893203883495146,0.9139463178627609,0.5619370867600942,0.7863247863247863,0.8332463086094991,0.23284313725490197,0.8878504672897196,0.2261904761904762,3042.0
1.13,0.27289329506913645,0.8038553462837336,0.24444890795320232,0.8632415722066834,0.7147966518918796,0.18134535367545077,0.5511064278187566,0.1580060422960725,20379.0
1.18,0.42086001829826164,0.8742263497937213,0.4394514278265654,0.814278728606357,0.7946924380415192,0.28942953020134227,0.770949720670391,0.2665121668597914,10225.0
7.2,0.13467336683417086,0.7388024809911371,0.08112290069830168,0.9085793162030155,0.584945610251405,0.09344490934449093,0.24100719424460432,0.07219827586206896,9418.0
1.11,0.1584022038567493,0.7264911070406229,0.11278904574757204,0.8760146103896104,0.6209076131344609,0.10258697591436218,0.3474320241691843,0.08601346297681377,9856.0
1.6,0.34034803723188994,0.8878882078322426,0.36786181656240985,0.8718200762788503,0.7727637085641079,0.2289681459297577,0.6627265563435776,0.2050719336747135,25433.0
1.17,0.30495928941524797,0.801149191799769,0.24970355791068233,0.9182554191694959,0.7269513436528551,0.21548117154811716,0.5215189873417722,0.1799126637554585,11487.0
7.5,0.20430107526881722,0.7913016551391574,0.10879201922230503,0.927752013668538,0.650681013412253,0.14285714285714285,0.3584905660377358,0.11377245508982035,4097.0
1.8,0.40759370436475745,0.8964940404737375,0.4027651951400296,0.848851169530118,0.8093062320157607,0.2779991146525011,0.7635258358662614,0.2559608722233544,24155.0
4.3,0.3979763912310287,0.9159365175945644,0.4427764616902003,0.9245721529685189,0.8079264273400264,0.28095238095238095,0.6820809248554913,0.24842105263157896,4733.0
5.4,0.32271468144044324,0.8376590323952003,0.3401759481499731,0.9312042768711312,0.7123964662386794,0.24372384937238495,0.4774590163934426,0.19240297274979357,14216.0
4.1,0.32883794111036185,0.88504752860391,0.318996590716263,0.8823436699633556,0.7705881219581237,0.2203313253012048,0.6479185119574845,0.19677202420981843,50758.0
2.6,0.37975725159432216,0.9386667248121731,0.4250092515978071,0.8800023880121789,0.865262312360429,0.24456809750927397,0.8491260349586016,0.23438293550025394,50251.0
5.2,0.43833580980683506,0.8749390108996496,0.49934829730984515,0.6896551724137931,0.7843894276768171,0.2883675464320626,0.913312693498452,0.28068506184586106,2436.0
1.16,0.29577464788732394,0.7666999002991027,0.3797306105042548,0.6960486322188449,0.6613659022931206,0.19444444444444445,0.6176470588235294,0.17355371900826447,329.0
2.8,0.3337586118907885,0.9025553331585319,0.3588190461909366,0.8884617027638942,0.7886182254026509,0.22117010483598243,0.6798336798336798,0.2003062787136294,23409.0
1.4,0.3815028901734104,0.8755672706644703,0.4198652162544887,0.8560234288428051,0.7814778575630354,0.26276346604215456,0.6960297766749379,0.2357142857142857,12634.0
6.5,0.3415384615384615,0.8092949736419708,0.33927681285111155,0.8719329742669061,0.7299601574148762,0.24395604395604395,0.5692307692307692,0.20593692022263452,3342.0
1.20,0.4778761061946903,0.9267356653829697,0.5156505717539529,0.8886792452830189,0.8064826700898589,0.36,0.7105263157894737,0.313953488372093,1060.0
