organism,f1,auc,ap,acc,bacc,prec,rec,jac,n
Homo sapiens,0.46220640004396557,0.901134541219053,0.5681648567316208,0.8668051474313507,0.8176173922131974,0.3321412586553398,0.7597029156420937,0.3005646531869947,1322446.0
Escherichia coli,0.3638584097399669,0.8827297694149092,0.3742510202586691,0.8647638219857646,0.7886103057758196,0.2454437149882132,0.7030421839831554,0.2223880939803863,250362.0
Neisseria meningitidis,0.4418938307030129,0.9076975735443593,0.5159235581346984,0.8347844552983649,0.8266551920076612,0.3028515240904621,0.8169761273209549,0.283609576427256,4709.0
Bos taurus,0.4556591953222887,0.9013790579316607,0.5509339303196972,0.903810671849246,0.810674479633873,0.33648606970288886,0.705539987066178,0.29505093302082397,81298.0
Mycobacterium tuberculosis,0.39631472631423365,0.8766605423530527,0.44222582541662636,0.8449085500917664,0.7936215741049187,0.2714266432716966,0.7340755612338018,0.2471274961597542,79005.0
Thermoplasma acidophilum,0.417910447761194,0.8623285751903469,0.3916056988341555,0.9131241878596621,0.7671220627725652,0.3193916349809886,0.60431654676259,0.2641509433962264,5387.0
Hepatitis c virus,0.3644728945789158,0.8543879962882452,0.3152556885137268,0.8878217577062957,0.7714995045523501,0.25443373830470606,0.6422277053225238,0.22284735812133072,56642.0
Rattus norvegicus,0.4043764988009592,0.901324660199776,0.4587969938755414,0.8807689711298295,0.8018466669160534,0.2822470969766712,0.7128137384412153,0.25342851775314673,133321.0
Capitella teleta,0.2054794520547945,0.7334981484821798,0.1428004938761181,0.7264150943396226,0.6532091207147177,0.12534818941504178,0.569620253164557,0.11450381679389313,1272.0
Pyrococcus horikoshii,0.4018899388549194,0.8817585848853925,0.42444024629615157,0.8558317143431367,0.7883527167396385,0.2802325581395349,0.7102161100196464,0.2514782608695652,14927.0
Human immunodeficiency virus,0.659254317693277,0.960894239880254,0.852597606842473,0.9096164054973359,0.8979968295177061,0.5257951365624877,0.8835099337748344,0.49170720919946925,152583.0
Haemophilus influenzae,0.4391066160977665,0.9045298264350734,0.5173359041684293,0.845555813413785,0.8214458537118835,0.30361305361305363,0.7929984779299848,0.281317494600432,8618.0
Trypanosoma brucei,0.37735094037615047,0.9043394328169836,0.45227454031792685,0.864583786606327,0.8101448595981322,0.25220647231880183,0.7490071485305798,0.23255240443896424,22981.0
Bordetella pertussis,0.0,0.8106757067340842,0.0622400226647434,0.9748663101604278,0.49754366812227074,0.0,0.0,0.0,1870.0
Methylococcus capsulatus,0.44907407407407407,0.9129158512720157,0.5067463059249532,0.9554056586097058,0.7974741349717233,0.3489208633093525,0.6298701298701299,0.28955223880597014,5337.0
Triticum aestivum,0.23972602739726026,0.8143596164618274,0.23605705367409088,0.7867435158501441,0.6826666446999902,0.15217391304347827,0.5645161290322581,0.13618677042801555,1041.0
Pseudomonas putida,0.35271980841601097,0.8968872646614592,0.39882083362038234,0.8508474576271187,0.8099897084738277,0.22926395374694242,0.7642698295033358,0.21412253374870197,25370.0
Limulus polyphemus,0.46,0.8328368090036411,0.39380336663639,0.848314606741573,0.7413108242303873,0.3709677419354839,0.6052631578947368,0.2987012987012987,356.0
Pseudomonas phage,0.19957537154989385,0.8229581090568687,0.11626831013314902,0.9143376505339695,0.6489576629417271,0.13702623906705538,0.3671875,0.11084905660377359,4401.0
Rhodospirillum rubrum,0.42700729927007297,0.8989076264787313,0.4307243252671841,0.8021424070573409,0.8256279889252454,0.2846715328467153,0.8540145985401459,0.271461716937355,1587.0
Cyberlindnera saturnus,0.18006430868167203,0.8577512305735302,0.11600431050870477,0.8130498533724341,0.7500046088896264,0.1037037037037037,0.6829268292682927,0.0989399293286219,1364.0
Medicago sativa,0.2775357809583074,0.8075410827704406,0.25110098255552415,0.8205009276437848,0.7227669119870954,0.17940466613032985,0.6126373626373627,0.1611271676300578,6468.0
Streptomyces cyanogenus,0.5275590551181102,0.9264298311917359,0.603644309698532,0.7660818713450293,0.8348922902494331,0.36813186813186816,0.9305555555555556,0.3582887700534759,513.0
Pseudomonas aeruginosa,0.34608528726175786,0.8674806947420289,0.3429828056531045,0.8809565412745562,0.7752329229071921,0.2347470238095238,0.658320292123109,0.20925219698225833,40061.0
Pseudomonas mevalonii,0.2892690513219285,0.810139084861923,0.18417353798569444,0.8808344198174707,0.6793086071356581,0.21232876712328766,0.45365853658536587,0.1690909090909091,3835.0
Spinacia oleracea,0.42276422764227645,0.8897828290704928,0.39270782848520464,0.8559837728194726,0.8037429819089208,0.29545454545454547,0.7428571428571429,0.26804123711340205,3944.0
Pneumocystis carinii,0.5010799136069114,0.9075100568171436,0.658146116296597,0.816703035112081,0.8206033057391592,0.35968992248062015,0.8256227758007118,0.33429394812680113,5041.0
Mus musculus,0.4319626168224299,0.9035377436503952,0.5063943399538687,0.8893551176443817,0.8055699406922039,0.3103054716347768,0.7105303612605688,0.27547979496960306,109865.0
Thermus thermophilus,0.3498822806837957,0.8678396767860916,0.34797904196758495,0.8927286546744363,0.7499608622529855,0.24836506321755558,0.5917590027700831,0.2120347394540943,59205.0
Chlamydomonas reinhardtii,0.3983402489626556,0.9241831741350941,0.5288933103651187,0.8348519362186788,0.8382268094108596,0.2608695652173913,0.8421052631578947,0.24870466321243523,878.0
Saccharomyces cerevisiae,0.39201548835035716,0.8982497167821452,0.40849055552967584,0.9030448206110934,0.7885677535893985,0.2784257942152679,0.6621560667568787,0.24379307481524537,93930.0
Thermotoga maritima,0.3743025665550773,0.8749057674600649,0.38861778325189505,0.8603401651010533,0.7807423746205955,0.2567804024496938,0.6901822457378013,0.23024122376936654,28104.0
Paraburkholderia xenovorans,0.3924941360437842,0.8550543227754168,0.44716100413019355,0.8568269762299613,0.745168006423818,0.2885057471264368,0.6136919315403423,0.2441634241245136,5427.0
Arabidopsis thaliana,0.38950147538437646,0.8933129537094318,0.4027980925580116,0.8653121359555952,0.7925096677721712,0.2684075342465753,0.7096774193548387,0.24185149469623915,29186.0
Pseudomonas fragi,0.10344827586206896,0.7650880037054192,0.051583612280789726,0.9290586630286494,0.5835514126910607,0.06716417910447761,0.225,0.05454545454545454,2199.0
Ovis aries,0.3451828954147347,0.8754106832027849,0.3170382891823265,0.9240105225397585,0.7316926403394256,0.25749423520368947,0.5234375,0.20859277708592777,16726.0
Panulirus versicolor,0.31675874769797424,0.8998500749625187,0.28647343886660764,0.8885216346153846,0.7615942028985507,0.2123456790123457,0.6231884057971014,0.18818380743982493,3328.0
Macaca fascicularis,0.04040404040404041,0.6228549268008919,0.043603482703533224,0.9133211678832117,0.5026177164463691,0.02857142857142857,0.06896551724137931,0.020618556701030927,1096.0
Candida albicans,0.3753103937566513,0.8918231231993259,0.4901068518468363,0.7773985589685248,0.8140038947666406,0.240236148955495,0.8573743922204214,0.23100436681222708,7911.0
Sus barbatus,0.3383084577114428,0.7991935873291806,0.2416351730164573,0.8252299605781866,0.711212516297262,0.23943661971830985,0.576271186440678,0.20359281437125748,761.0
Penicillium janthinellum,0.6829268292682927,0.9843530927558,0.8901971445969683,0.8993808049535603,0.9388543619842655,0.521415270018622,0.9893992932862191,0.5185185185185185,2584.0
Gallus gallus,0.4447271699180096,0.8852348272347125,0.5223339111448739,0.8754636821914333,0.7978969469287973,0.3242630385487528,0.7076023391812866,0.2859480094528268,31541.0
Clostridium perfringens,0.294010889292196,0.873004092918133,0.24215281021533283,0.9401906519065191,0.6626934957880517,0.24620060790273557,0.36486486486486486,0.1723404255319149,6504.0
Nostoc sp.,0.38811881188118813,0.8564796088054725,0.3730644769530648,0.8202443280977313,0.7632338268209152,0.2692307692307692,0.6950354609929078,0.24078624078624078,1719.0
Bacillus anthracis,0.47075208913649025,0.9203881874348578,0.6146154919113715,0.848072924996002,0.8256573819780475,0.33372827804107424,0.7986767485822306,0.30783242258652094,12506.0
Secale cereale,0.5190839694656488,0.9724725705329154,0.6730861677676693,0.9351851851851852,0.8578076018808778,0.39080459770114945,0.7727272727272727,0.35051546391752575,972.0
Burkholderia vietnamiensis,0.3731656184486373,0.8987495461147422,0.553357626481016,0.7051282051282052,0.8045002723311547,0.2335958005249344,0.9270833333333334,0.22938144329896906,1014.0
Oryctolagus cuniculus,0.3138252756573367,0.8309738870407045,0.23196241186999556,0.8956840495882992,0.7279607250070544,0.2205005959475566,0.5441176470588235,0.18611670020120724,54287.0
Armoracia rusticana,0.23853211009174313,0.8547481988342204,0.2341396366293202,0.9099783080260304,0.6732015495456356,0.16666666666666666,0.41935483870967744,0.13541666666666666,922.0
Saccharolobus solfataricus,0.2479120879120879,0.8371141473637038,0.22535461894748107,0.8906709265175718,0.6970032884828716,0.1661756040070713,0.48788927335640137,0.14149523331660813,15650.0
Rhodococcus sp.,0.0736196319018405,0.8435837919267071,0.08094298220240792,0.9496834388537154,0.5490746149352845,0.05042016806722689,0.13636363636363635,0.03821656050955414,3001.0
Methanothermobacter thermautotrophicus,0.41948579161028415,0.8694746919304153,0.4275070388798091,0.8382352941176471,0.7739165824567408,0.30009680542110356,0.6966292134831461,0.2654109589041096,5304.0
Thermoactinomyces vulgaris,0.33766233766233766,0.8352132345042431,0.3003005144317111,0.9208893485005171,0.6589808122196134,0.31451612903225806,0.3644859813084112,0.203125,1934.0
Geobacillus stearothermophilus,0.3872315035799523,0.8892824491553394,0.4054246816349807,0.8651523109243697,0.7943591538515717,0.26565697912402786,0.713971397139714,0.2401035886052534,15232.0
Lentilactobacillus kefiri,0.706766917293233,0.9788811046806782,0.9470317249534287,0.844,0.8875520357396689,0.5595238095238095,0.9591836734693877,0.5465116279069767,250.0
Aspergillus niger,0.5416666666666666,0.9145020333996712,0.6823038068071456,0.9191770756796473,0.8240719910011249,0.436241610738255,0.7142857142857143,0.37142857142857144,1361.0
Archaeoglobus fulgidus,0.39046598821638995,0.8775829893813346,0.430877523505709,0.8575541369382902,0.7662595877837604,0.27718631178707226,0.6603260869565217,0.2425956738768719,15978.0
Bacillus subtilis,0.3779527559055118,0.8713735664270723,0.3772468771215815,0.8683765898531,0.7785697863649877,0.2621941837205724,0.6767275615567911,0.23300970873786409,42614.0
