organism,n_res,n,f1_mean,auc_mean,ap_mean,acc_mean,bacc_mean,prec_mean,rec_mean,jac_mean,f1_std,auc_std,ap_std,acc_std,bacc_std,prec_std,rec_std,jac_std
Homo sapiens,1322446.0,3217.0,0.47352184155577265,0.8924293529743577,0.569471192258138,0.8446133881833809,0.8049019274633945,0.355142743865859,0.7645187938051492,0.32759604967924183,0.17894073844688266,0.09853404208559671,0.27100790391305046,0.08087263772186007,0.1189174073283392,0.15247106647247458,0.24541869580289952,0.14972931010172275
Escherichia coli,250362.0,414.0,0.37196676049299854,0.8631197491470263,0.39197803660471986,0.8248934741579984,0.7641785082198272,0.2661969406301904,0.7018136922142384,0.2421129240216806,0.1698006859988437,0.08883444177935208,0.23118222855822088,0.09051641514126704,0.11060500789769959,0.14474682804820485,0.25402102425428963,0.13223546697966734
Neisseria meningitidis,4709.0,10.0,0.43933157734757655,0.8704965552244459,0.49097163528987425,0.7913495738133682,0.7793124309480566,0.3199479653262956,0.7774018428028389,0.2966638291629867,0.1808628469325806,0.07037217005049405,0.24417345591767595,0.10498761681486718,0.09395434124824484,0.1665641049030275,0.21727065762064732,0.1466166568010629
Bos taurus,81298.0,137.0,0.43234593041800035,0.8801904275001421,0.5526156986855358,0.8440460885510389,0.7730980188349753,0.3220616946246882,0.7010805702804459,0.2967995439288775,0.2107221959791826,0.10292016489298746,0.2944333263421616,0.09477368809402027,0.14065333254163342,0.17036585187327857,0.3127062400459991,0.15868223799758382
Mycobacterium tuberculosis,79005.0,168.0,0.4000705538128787,0.8653386794551274,0.449041903814247,0.8030564603382724,0.7679330157247725,0.2834880653320621,0.7362487602145524,0.2600067966072508,0.14383962771274034,0.07424339678573821,0.213986064980923,0.07839328633666373,0.08864291995847555,0.11681176582393521,0.22240342251262932,0.11220143922980581
Thermoplasma acidophilum,5387.0,7.0,0.40044085883101743,0.8396083247210283,0.38260900407764314,0.8741508291105866,0.747562722495786,0.3119953777257375,0.6131466722900095,0.26391041917239805,0.17576977104765704,0.12141440921869545,0.24204952306612731,0.06995840728851732,0.1359464895069845,0.12349854533053545,0.3301224174158878,0.1444642006141147
Hepatitis c virus,56642.0,86.0,0.34306226379041804,0.8364729520156083,0.3971444182215405,0.8794335298978733,0.7376035080421838,0.24640679475844207,0.58369295704107,0.2299662224232226,0.23065683267264295,0.1550342178568521,0.3045912618594779,0.04268928407178839,0.18899138950258138,0.1702753604732031,0.3704278011005658,0.1670690949564476
Rattus norvegicus,133321.0,230.0,0.4190628211678328,0.892440546459508,0.47199362155882224,0.854321449687004,0.7905481228266734,0.3060272615508038,0.7242294476353787,0.2798370444531572,0.16983457588528764,0.07981044655715196,0.2555268353867132,0.07167912277723026,0.1072869213208032,0.14609107046564565,0.22689555291549576,0.1389264923470028
Capitella teleta,1272.0,3.0,0.20446354787125576,0.7384380331036535,0.1537776185723819,0.7264147969678434,0.6531516778695549,0.12536445192038123,0.5694444444444445,0.11421269932845907,0.03815524148449484,0.023353188032842153,0.007669659559190392,0.0061280103788923365,0.01015254351279111,0.028729423693571336,0.025220939842725013,0.023962101870974948
Pyrococcus horikoshii,14927.0,30.0,0.4044645923747732,0.8574122537855859,0.40410285234538657,0.8342182841998872,0.7680905581380404,0.29404160874824853,0.6933534205807056,0.2662727973188379,0.1580835745168537,0.09952617268493485,0.2508699389583941,0.06121999045842188,0.10182450115146133,0.13645905372953074,0.19763429778043495,0.13419990114367214
Human immunodeficiency virus,152583.0,414.0,0.6677083694591255,0.8962689615605468,0.7751507011242558,0.8865672261058342,0.8618369938903837,0.570268489095232,0.8408960459719428,0.5587754100309829,0.28425436059432024,0.21356835885521722,0.32096653553590687,0.111416352503,0.18675269939541203,0.2722858271423484,0.2988293566760219,0.27436375294482446
Haemophilus influenzae,8618.0,19.0,0.4389569724770398,0.8867951753967237,0.5122058040848811,0.8309430272087708,0.8061592908847287,0.31063739088954584,0.7819541620605361,0.29039038071529993,0.13759027218802447,0.13228233480493298,0.22195358182179992,0.05804989710621284,0.10121543995932396,0.11244138077852571,0.21323186317316686,0.11108300433050161
Trypanosoma brucei,22981.0,42.0,0.38262222291770775,0.893416949910758,0.42249372130344365,0.8425269854604741,0.7893619101477111,0.2677309574295056,0.736494383102037,0.2518453365192734,0.18142356957362107,0.06150217842657625,0.23962165736991067,0.0565612618960631,0.11095904728614757,0.14802941708013262,0.25498252084554757,0.14061094247022277
Bordetella pertussis,1870.0,1.0,0.0,0.8106757067340842,0.0622400226647434,0.9748663101604278,0.4975436681222707,0.0,0.0,0.0,,,,,,,,
Methylococcus capsulatus,5337.0,5.0,0.3214186545500442,0.8649737218311484,0.40575486038782727,0.8790967406645189,0.6932409752666909,0.24440940893173094,0.5058650615901457,0.2215273530411145,0.30031560175870853,0.08477537296546044,0.348661301400289,0.12451129071042785,0.1845553246973273,0.23769037059491785,0.46820876448961934,0.2103480177452373
Triticum aestivum,1041.0,2.0,0.25024352230664326,0.8182686354254071,0.2715065257331398,0.6873430634023854,0.6638262720588723,0.1562306740878169,0.6523809523809524,0.144140127388535,0.0775572019887057,0.008393620862586694,0.20409155340515733,0.21300870472184205,0.04440157938345438,0.03880997330260124,0.35018621544476647,0.050713518192105296
Pseudomonas putida,25370.0,49.0,0.34163377468482065,0.879897036622744,0.4119089387438141,0.8204902003692032,0.7853071929346886,0.2274002120012612,0.751756047285797,0.21483685522932428,0.1452783189545881,0.09201998176012016,0.2260062994880125,0.07567736378753608,0.12926639475849136,0.10975369217199711,0.2716615368856837,0.10389231951479441
Limulus polyphemus,356.0,1.0,0.46,0.8328368090036411,0.39380336663639,0.848314606741573,0.7413108242303873,0.3709677419354839,0.6052631578947368,0.2987012987012987,,,,,,,,
Pseudomonas phage,4401.0,4.0,0.20317296288814152,0.8114886862297321,0.13657395519229804,0.9039664095502079,0.6358218209085752,0.14371380203672343,0.34970462543991954,0.11726233186493906,0.1290750973031695,0.04045845271307622,0.08593884726571013,0.024990977861581165,0.09543816055353549,0.09298924324959598,0.20960155261390917,0.07781391743400966
Rhodospirillum rubrum,1587.0,3.0,0.42290808096922,0.8829746066154218,0.4375868403695387,0.7631079923378286,0.7957785181409909,0.28206133027923813,0.8476604696116891,0.2692038663814477,0.05574408181281874,0.01800745700462058,0.171880805213764,0.10400712460294437,0.006746985919493461,0.038020002024292364,0.12234300258149132,0.04443774532025699
Cyberlindnera saturnus,1364.0,1.0,0.180064308681672,0.8577512305735302,0.1160043105087047,0.8130498533724341,0.7500046088896264,0.1037037037037037,0.6829268292682927,0.0989399293286219,,,,,,,,
Medicago sativa,6468.0,13.0,0.2986663859122745,0.7985669625627444,0.29927641960252466,0.8011366096928667,0.7108437485142136,0.21184154650817058,0.6113458246647901,0.18573126895393108,0.16034583792766577,0.10162703947313313,0.2179200124376709,0.10201442916017857,0.10035469984567122,0.13906850099058807,0.229500681482852,0.11743795362529397
Streptomyces cyanogenus,513.0,2.0,0.511443661971831,0.9199592492917474,0.6089745271146003,0.7660049854085603,0.8335029891102952,0.36528935604687685,0.9259094942324756,0.3549679487179487,0.19296047726041352,0.06546223231968964,0.41955702692380037,0.05578009779848892,0.03239114285192223,0.18290632095208395,0.018195294280754018,0.17564351135242773
Pseudomonas aeruginosa,40061.0,57.0,0.34616374234424957,0.828092610728921,0.37775893641490765,0.816192836959803,0.7298054928976015,0.24928367812551608,0.6390968015399514,0.22707606456888185,0.19841504153928033,0.12343782713411683,0.2633828513734174,0.08902037905093216,0.13399346617206748,0.16509253812956756,0.2945239151024543,0.15212205809935656
Pseudomonas mevalonii,3835.0,5.0,0.28759764013561756,0.8266164548729311,0.1999531212540709,0.8808302872812362,0.69655577093178,0.2115851133071455,0.488180687271311,0.1686624762436121,0.04789504771382128,0.06278022873098918,0.039447391389218656,0.00864256221545503,0.07809622984556933,0.042397933090047184,0.16153162746331456,0.031854702927590905
Spinacia oleracea,3944.0,8.0,0.4344949359571792,0.8828423577400188,0.44045361562474605,0.8334504178813048,0.7901600185708689,0.3191037878142314,0.7419724902438891,0.28561004394836687,0.1231257292879779,0.039416079377676716,0.1786826306089958,0.07767896456417567,0.03760159958545257,0.1437002329999997,0.08514024828380051,0.11747176234291215
Pneumocystis carinii,5041.0,18.0,0.512451476222289,0.9078236254755002,0.6713827824080082,0.7912488619911276,0.8108566485450892,0.37172488363524997,0.8422414287167608,0.3488950170415943,0.09226367420668201,0.042193661645434095,0.173742758113415,0.03654021524624891,0.054398248455637996,0.07828247289850006,0.14324607193767314,0.07539688231127104
Mus musculus,109865.0,208.0,0.4422932503322049,0.8865683117359817,0.500318373825997,0.8569743005671833,0.7857515992055585,0.3343333449320542,0.71279349209173,0.30563882585001234,0.20157573438476756,0.08959853469485797,0.2763261556469274,0.08515823984315403,0.12238811300595366,0.17410510601573798,0.2609878060648128,0.17027494801061466
Thermus thermophilus,59205.0,82.0,0.3464872616653626,0.8481048791707987,0.3569387743154256,0.8577815927462955,0.7292693345249195,0.25564823850648505,0.5908482467050387,0.22368479808174596,0.17656151919410543,0.10353513910959303,0.23225704178199033,0.07130062701194763,0.11521768273213845,0.14349586089897004,0.27533003872202544,0.13546953633739064
Chlamydomonas reinhardtii,878.0,2.0,0.3975895316804407,0.8975766392052184,0.4072785077207579,0.7786858645897383,0.768181970939398,0.26981490270526814,0.7954545454545454,0.2642360356444251,0.2558635694458761,0.053386632138496606,0.39030270152703933,0.1268004730422485,0.04828635697518939,0.1939761364621853,0.2892709559399512,0.20186584592230608
Saccharomyces cerevisiae,93930.0,126.0,0.39851817856329746,0.8821203428160473,0.4360528502702875,0.8586029435063165,0.7643447779983567,0.29894452579314273,0.6666524294002196,0.26878676258511636,0.19980241465287987,0.08992522318068227,0.279736409377488,0.08597591638754758,0.12498161736685429,0.16759843699905416,0.28340089045842953,0.16253772152241525
Thermotoga maritima,28104.0,53.0,0.37415552666496177,0.8509187599283019,0.4200105034377981,0.8397520691967391,0.7577108789166899,0.27178849358725604,0.6675284649295801,0.2417257918326785,0.1631245978251451,0.12195027937897401,0.21246172618979683,0.06080477163715377,0.1232310987262465,0.13390275318214362,0.26874596201966383,0.11862501051321418
Paraburkholderia xenovorans,5427.0,14.0,0.35892112163489365,0.833038265115129,0.3947325183139748,0.8463036704275161,0.7106901500843387,0.26931593463113135,0.5595358284895637,0.22889604582332337,0.15374817173158484,0.08688935979151921,0.25357945872086946,0.0425808761542772,0.10854392012907203,0.11021043976744128,0.2710610228453152,0.11772706833084165
Arabidopsis thaliana,29186.0,51.0,0.39367943236622965,0.8688401440769117,0.40966246259723355,0.8312819135025912,0.763774968035204,0.2878163605876776,0.694733183151409,0.2576509523937398,0.16222592866281196,0.07647395750577868,0.23665389304740708,0.08758906575700821,0.09271408743179792,0.14580060046885146,0.20092744144614963,0.12792448280866606
Pseudomonas fragi,2199.0,1.0,0.1034482758620689,0.7650880037054192,0.0515836122807897,0.9290586630286494,0.5835514126910607,0.0671641791044776,0.225,0.0545454545454545,,,,,,,,
Ovis aries,16726.0,20.0,0.3365757781873104,0.8734317480567734,0.34192750633088476,0.9009954488193976,0.7178634667051484,0.2560581146747042,0.5198730323437549,0.21218121754416766,0.15524332026542728,0.03871007387857717,0.21421197317347798,0.05509562271883374,0.09623970730836989,0.12745665217233934,0.23051343954455022,0.1115710304324246
Panulirus versicolor,3328.0,3.0,0.3145651993250445,0.8965603847844825,0.26321331474632004,0.8809743478418177,0.7532000492449168,0.2113481695869837,0.6161111111111112,0.1899762342142437,0.10788019714391214,0.01577779554152691,0.1329583959532008,0.03266913812046228,0.07560903806499888,0.07484287207026348,0.1909067059334752,0.0782704161068412
Macaca fascicularis,1096.0,1.0,0.0404040404040404,0.6228549268008919,0.0436034827035332,0.9133211678832116,0.5026177164463691,0.0285714285714285,0.0689655172413793,0.0206185567010309,,,,,,,,
Candida albicans,7911.0,22.0,0.37953318417864657,0.8990462852883128,0.4852167826542146,0.7516911108872493,0.7918557851612286,0.2538737250623064,0.8507585943445874,0.24316228055414835,0.135240180339158,0.04586156247330505,0.24316350045601615,0.09482308701549488,0.0702219386761075,0.11870415644643137,0.2041653998233667,0.11299419187151181
Sus barbatus,761.0,2.0,0.34099465028729936,0.8196852851040668,0.2857912784326345,0.8266558218457698,0.7250611064062841,0.23849206349206348,0.6048951048951049,0.21067090803932906,0.1527137688712774,0.13014724799385183,0.1703679095086804,0.016500381212671774,0.16524659161906904,0.09484210001629094,0.3411913839291733,0.11144395481395854
Penicillium janthinellum,2584.0,8.0,0.6813934601441319,0.9849646526595501,0.8960302830567335,0.8993808049535603,0.9389341974074796,0.5211734076689282,0.9894626271561257,0.5182314253755411,0.04469616780793975,0.007488261302084618,0.04543673569078166,0.010066171319540938,0.008063889109354497,0.05011316717602155,0.014568112917028891,0.049885764966825376
Gallus gallus,31541.0,69.0,0.42864284634801814,0.8547377902722875,0.5093852202116721,0.8194600826953771,0.7605371567759476,0.31928497360965746,0.6993917942711914,0.2892330149447203,0.18194555192099782,0.11836335717131127,0.28668301940296287,0.09886157892914067,0.13675246578452854,0.14451247289421446,0.29322583824794407,0.14525059741369972
Clostridium perfringens,6504.0,7.0,0.28958236071024607,0.8699442656257964,0.24285245844461453,0.9274152184457011,0.6599087270507477,0.24010136665101256,0.37255934425052073,0.17812491441049785,0.15347094728348507,0.030075696612818455,0.15268329300933728,0.03490921211682508,0.09764021415550043,0.11349949134372146,0.22790918314591907,0.11482948356718288
Nostoc sp.,1719.0,4.0,0.3769303652038004,0.836150199498777,0.3674333201130497,0.8149960617287552,0.7400249612882692,0.2705435825637733,0.6521929824561403,0.24006065818073224,0.15533336112328294,0.06948749027150661,0.16649866160570512,0.0268891489671909,0.09922309436677854,0.1234988950402083,0.19205719177443134,0.10909752888623596
Bacillus anthracis,12506.0,34.0,0.4955083810125032,0.9125614317785845,0.6106621436167012,0.8188458938446113,0.8138191674162236,0.3713005943190135,0.813725359418704,0.3435382453116578,0.1595352300713418,0.05569631726407435,0.27018535824146916,0.0541326434707913,0.07153143975299323,0.1497414589705565,0.16594486443882467,0.13841484918433783
Secale cereale,972.0,2.0,0.5186567164179104,0.972619514106583,0.672533315634106,0.9351851851851851,0.8578076018808778,0.3904761904761904,0.7727272727272727,0.35034013605442177,0.02638458138755774,0.006580637168174176,0.03503029142433459,0.0014549522246636321,0.031379248812451646,0.013468700594029546,0.06428243465332252,0.02405125106076695
Burkholderia vietnamiensis,1014.0,3.0,0.3955705021026498,0.8691342423697263,0.4803457500351131,0.6946056410511812,0.7847121272927725,0.27310119823541973,0.9074747474747475,0.2693237881300779,0.25330082616385297,0.08320355053442369,0.39917616685501695,0.11459215574464704,0.07169390781075534,0.21824266766786404,0.0733466888247516,0.21669658181130175
Oryctolagus cuniculus,54287.0,76.0,0.31207177393734026,0.8261906564793291,0.36393817661120365,0.8820572213036216,0.7191479662725189,0.22639078684900849,0.5382254244555735,0.20483510305473204,0.21917926655552342,0.16865154977215188,0.26622121502709906,0.056392116309759655,0.18392969052896335,0.16878218388319086,0.35153138327392935,0.15675092420179884
Armoracia rusticana,922.0,2.0,0.21992753623188405,0.8458105419684572,0.2282277516463837,0.8923372379254733,0.6547465771534332,0.1538461538461538,0.40126050420168063,0.12528630325240492,0.09889247012246644,0.0015926259178388625,0.14635961551910429,0.07420089620930896,0.09433753404522965,0.05439282932204217,0.26442228372101995,0.0625156247224021
Saccharolobus solfataricus,15650.0,18.0,0.2544932145827352,0.8207311155221005,0.244455455427126,0.8607354219473833,0.6759022729939401,0.18304417121139907,0.4829407225853304,0.15907315343919703,0.18690270802589604,0.085640899513616,0.200583448918655,0.06906407018795056,0.1297064339469915,0.14292884342810952,0.3092222245048365,0.1319372508138509
Rhodococcus sp.,3001.0,2.0,0.05405405405405405,0.8361650481751919,0.0794879764574168,0.9439380002694429,0.5406163252292896,0.03448275862068965,0.125,0.02857142857142855,0.07644397634449161,0.02748359672929364,0.036322056492758215,0.03876622699546498,0.0700459613345051,0.04876598490941706,0.1767766952966369,0.0404061017820884
Methanothermobacter thermautotrophicus,5304.0,12.0,0.43811035292280404,0.8640503068406641,0.4170460176430604,0.8288412708263411,0.7701732995580909,0.34003553073881293,0.7001595917745052,0.2941394791368927,0.15847167838219614,0.0255634765276216,0.2235820114391787,0.03748660181543136,0.041824269591587984,0.17702977814419973,0.12048694525752739,0.1471263215843868
Thermoactinomyces vulgaris,1934.0,3.0,0.37957089552238804,0.8460814486662911,0.3699834494225966,0.9193916285670157,0.657524762461253,0.42927170868347336,0.354789886039886,0.251444568868981,0.24240745303616493,0.08656397312863258,0.2616369054477065,0.004894541614983837,0.09317976576729031,0.30808186633227935,0.17289718704170276,0.17251869263188999
Geobacillus stearothermophilus,15232.0,23.0,0.39164986890483455,0.8706741237667185,0.4140043336669592,0.8340797293263534,0.7711686003896407,0.28556367582916836,0.7058632998656467,0.2582834381017342,0.17789284615940978,0.08330450452649396,0.26232274046453413,0.07106924162400194,0.10923545636883049,0.14918316794904876,0.23932698772277042,0.14090053337574998
Lentilactobacillus kefiri,250.0,1.0,0.706766917293233,0.9788811046806782,0.9470317249534288,0.844,0.8875520357396689,0.5595238095238095,0.9591836734693876,0.5465116279069767,,,,,,,,
Aspergillus niger,1361.0,2.0,0.5093776641091219,0.8841063368513976,0.5630214811108831,0.9211439163246392,0.8006612710735052,0.4346846846846847,0.6646825396825397,0.37029780564263326,0.30442363554919566,0.11510251869636853,0.3852898147797981,0.0190234473635784,0.10186983569828614,0.3280720651451099,0.1823886538774825,0.279850254309723
Archaeoglobus fulgidus,15978.0,28.0,0.4213878810399009,0.8670950079791016,0.4568150412799867,0.8300454855974956,0.7527472554964011,0.334081137769214,0.6638038785594815,0.2821813373830799,0.17366946199826033,0.07299780872159757,0.24735251024324523,0.07685793527513637,0.08910688121242118,0.17574764380824484,0.20914473296720631,0.14447320747258768
Bacillus subtilis,42614.0,83.0,0.3843273186960343,0.8584757361508404,0.4066705509837624,0.8329449820948339,0.7565620101213846,0.28240181040123247,0.6737713613681827,0.25280448189173577,0.17742519079905986,0.08419240778090366,0.22963265002087957,0.08630104364074355,0.11244931536528106,0.15231012981098344,0.25302496473970393,0.13875964458544687
Schizosaccharomyces pombe,13340.0,16.0,0.24967494275128943,0.7851298994691591,0.26281526062089594,0.8633436419215237,0.6550043831323482,0.18469411536413294,0.42815871029142993,0.15452543130273777,0.1755927612898508,0.14025034615770718,0.25925411926983366,0.0884983022230227,0.13906642277897757,0.1299265289530881,0.29353872860164887,0.12719249218903605
Klebsiella pneumoniae,7610.0,12.0,0.3692183628111814,0.8779024019689748,0.4257239784194243,0.7849461514275227,0.7760951501213557,0.25223479021944345,0.7759117676276882,0.2368687180333857,0.1548985370735921,0.10655274328780466,0.21123875199969874,0.11927432177146509,0.13979216377823805,0.11412592516018828,0.30906159742856526,0.12133892268574817
Streptomyces clavuligerus,14165.0,14.0,0.26158862289337786,0.8345166030300666,0.20066128433755662,0.8906256345852804,0.6728341218196091,0.19451880462447155,0.43428459361412225,0.15314552281851151,0.08638474165314208,0.05790501448868241,0.09223112791755424,0.04555948127861077,0.06622549552278441,0.07360315340671048,0.14550990820539916,0.05793994006372037
