scope,f1,auc,ap,acc,bacc,prec,rec,jac,n
l,0.45737456100506296,0.9012190148012724,0.5349716864548132,0.8696677230768411,0.818870625615671,0.32721450764060617,0.7594834247028956,0.29649100127834993,375801.0
d,0.47500057144163293,0.914738432250562,0.6049361614219634,0.8778383403859696,0.831026972522527,0.34216089834359664,0.7764459722014646,0.3114759012668397,940074.0
c,0.3896420804834461,0.8831249764765882,0.4208369239902466,0.8728351790323015,0.7861031462582013,0.27181831381521965,0.6877636596272977,0.24195992441259315,1337524.0
-,0.3173399148627842,0.8655100309977992,0.3227223767261841,0.8649062826263268,0.7685588076057233,0.20867765518678996,0.6621155572353191,0.18859418944195497,446342.0
a,0.4245274740703041,0.8842787648549897,0.45841821174160413,0.8731808249376366,0.786830715524588,0.3071980087371736,0.686864671474814,0.269460410818518,258565.0
e,0.3862246777163904,0.8838486894451822,0.4199349116164833,0.9175995885913208,0.7742850212985413,0.28091513073296187,0.6178411501296253,0.23932989455425208,202232.0
b,0.5360679352479576,0.9162788801673213,0.7077677602401712,0.8399890210684307,0.8350771301445795,0.39615871361572247,0.8287547498909861,0.3661836147695526,287824.0
g,0.32748538011695905,0.8479269154381686,0.3122744140180145,0.8808052621088299,0.7327613366686497,0.23008849557522124,0.5678627145085804,0.1958041958041958,25085.0
f,0.24924012158054712,0.8080201400363526,0.19453079968655068,0.9054502369668247,0.6729945904671681,0.17686935086277733,0.4218520333170015,0.1423611111111111,54860.0
j,0.37209302325581395,0.8465789045993825,0.23573995366790315,0.9409190371991247,0.7086624410856492,0.3137254901960784,0.45714285714285713,0.22857142857142856,914.0
h,0.12307692307692308,0.8126892634129024,0.11967660830530664,0.8872775214238628,0.550592068166155,0.09302325581395349,0.18181818181818182,0.06557377049180328,1517.0
l.1,0.45737456100506296,0.9012190148012724,0.5349716864548132,0.8696677230768411,0.818870625615671,0.32721450764060617,0.7594834247028956,0.29649100127834993,375801.0
d.122,0.490916908524132,0.9159976780096869,0.6464057575593435,0.7982964224872232,0.8367127596128671,0.33952865957921347,0.8859359844810863,0.32530807037538284,46960.0
c.48,0.31417624521072796,0.9257522099644323,0.26471387350037495,0.9200134055744847,0.776847519304649,0.20985284708893154,0.6247619047619047,0.18636363636363637,17903.0
c.56,0.35478806907378335,0.8986936656120464,0.40738105641609096,0.8710574751108509,0.797188264467322,0.2359081419624217,0.7151898734177216,0.21564885496183206,47812.0
d.144,0.5864097770172492,0.9548068586691247,0.7697095602126521,0.8934563621422469,0.8895584739067607,0.43850808044106726,0.8848581447242588,0.4148371766323435,367502.0
c.2,0.43686887120714407,0.9014651653887377,0.5084330678061265,0.8600430580921394,0.8128120388271195,0.30691647577694964,0.7576806212018906,0.27948318804483185,165358.0
