scope,n_res,n,f1_mean,auc_mean,ap_mean,acc_mean,bacc_mean,prec_mean,rec_mean,jac_mean,f1_std,auc_std,ap_std,acc_std,bacc_std,prec_std,rec_std,jac_std
l,375801.0,849.0,0.4688144314320876,0.8872961663276926,0.5459286205397779,0.8373976718254441,0.7981889341231845,0.35047938088413544,0.7601021703259886,0.3221651475161938,0.17227717202058407,0.09818888662262384,0.2627277228114237,0.08418601555871033,0.11562021031410726,0.1460155257124561,0.24355433557849965,0.14359919871794347
d,940074.0,2087.0,0.49472661211006225,0.9072117448575926,0.6024842366799639,0.8567461274398033,0.8204846217139423,0.3739798675440032,0.7843412987689399,0.3477611495086232,0.18354689852213063,0.09126074897514107,0.28521203811071044,0.07934681623902304,0.1149043720780834,0.16033524266190965,0.2335169262812158,0.15801902755733763
c,1337524.0,2324.0,0.3983665995587462,0.8660563236358204,0.43665703587923266,0.8396632239646533,0.7650674043942878,0.29324622511460835,0.6862070828479766,0.26511588616029486,0.1834285837074552,0.11340408135724148,0.25312945813216997,0.07398183970734122,0.12256690591072712,0.15427817643369396,0.2701804078938461,0.14444577545541262
-,446342.0,852.0,0.3217388701848006,0.8479392352483905,0.37166089706864913,0.8192910576922281,0.7433653142074337,0.22354274054979853,0.6657469189126098,0.20336945953884156,0.1642886116024803,0.12006927174290896,0.24193514101472732,0.11479757391771521,0.13175497424904384,0.1310802316318993,0.28486875753946134,0.12011879676988711
a,258565.0,555.0,0.41827935436346037,0.8674363592213921,0.4814975875417504,0.8248459720256632,0.7572578838625792,0.31660885474817463,0.6891381898994522,0.2800593372659696,0.176479049350753,0.09100761901367281,0.24594888592296718,0.11598427486134591,0.1165121699281594,0.15411084023442426,0.26400505285708004,0.14139744118974698
e,202232.0,245.0,0.3800629102150607,0.8664763521644844,0.4466893888463524,0.9023516979764384,0.7627445304005722,0.28381614930390947,0.610407886486234,0.25628875706030985,0.21710226482747536,0.139702996104153,0.2961985705163762,0.050600314476366336,0.17027884524248624,0.16637836133813555,0.3369607887127092,0.16336243248914614
b,287824.0,939.0,0.5517728501556401,0.8926697578948661,0.6308728652059756,0.8297614439963455,0.82037152319848,0.43841046852091825,0.8169932191332971,0.41514812336160917,0.21919128738218355,0.10082565983460179,0.2689300384961272,0.10611355159130365,0.1153545554414415,0.2232069483985328,0.188668136858673,0.22842331318710976
g,25085.0,39.0,0.3079867499398569,0.7959267712706962,0.3004714427448124,0.8077785674192243,0.67255957514968,0.22638518930596602,0.5381894659149553,0.19735453092022529,0.19050154772919098,0.11807799533522499,0.21682483835772598,0.15857531525845034,0.12686937751819588,0.15531681592544702,0.2980555283263167,0.14110124277374925
f,54860.0,65.0,0.23328096300739312,0.7727207560309846,0.23759270092464332,0.8352818119667429,0.627891389154992,0.17885684725708967,0.4111471218057104,0.14509967425912806,0.1867027385965492,0.10075909790753258,0.19515825485106986,0.1294967031472732,0.1167325805888009,0.16350396012281143,0.3102140617691066,0.12598315002507957
j,914.0,1.0,0.3720930232558139,0.8465789045993825,0.2357399536679031,0.9409190371991248,0.7086624410856492,0.3137254901960784,0.4571428571428571,0.2285714285714285,,,,,,,,
h,1517.0,2.0,0.12425709883336995,0.6543562992926254,0.1160565451912723,0.7478835174487348,0.48435067503096857,0.09722222222222221,0.1810661764705882,0.0662537537537537,0.007938024618206894,0.21107739657912142,0.0347052165242278,0.2829239314556006,0.11007965424732177,0.019641855032959673,0.035095373330949926,0.004512318048112369
l.1,375801.0,849.0,0.4688144314320876,0.8872961663276926,0.5459286205397779,0.8373976718254441,0.7981889341231845,0.35047938088413544,0.7601021703259886,0.3221651475161938,0.17227717202058407,0.09818888662262384,0.2627277228114237,0.08418601555871033,0.11562021031410726,0.1460155257124561,0.24355433557849965,0.14359919871794347
d.122,46960.0,162.0,0.5057244409945779,0.9120803072977526,0.641488939236685,0.7838161337142685,0.8254054844564499,0.3594820281059415,0.8891325893706759,0.3495463589207768,0.1397549144018725,0.08132246505383578,0.23960346471916313,0.06431618906353147,0.08179619865756503,0.11618730018302491,0.1753269864543603,0.12032107526589586
c.48,17903.0,12.0,0.3151236780965119,0.9260401605835074,0.2731223848289689,0.9182136401084731,0.7766830853399247,0.2150118455987916,0.6263857987941603,0.1875076121478725,0.03497442592790773,0.008717159453720832,0.04781276742134226,0.018415617294595746,0.042668578756596895,0.036462222515908076,0.10425424540902034,0.025064512051279065
c.56,47812.0,78.0,0.38080662412375793,0.8913590870133575,0.4096928143618599,0.8518655832486621,0.7877098517079376,0.27053028127574363,0.7192703254360961,0.24809748972720982,0.16849670289201757,0.059098069783924526,0.22050586926112042,0.05066188368912309,0.105401104357238,0.13709102305826648,0.24653533252392232,0.12633074808302888
