,N epoch,device,progress,patience,epochs,verbose,geometric_dim,encoder_hidden_dim,encoder_depth,dropout,batch_norm,dense_activation,gnn_activation,gnn_depth,dense_depth,dense_dim,gnn_hidden_dim,model_seed,total_params,reduction,total_samples,use_folds,train_samples,train_folds,valid_samples,valid_folds,test_samples,test_folds,optimizer,lr,scheduler,scheduler_gamma,scheduler_step,loss_fn,pos_weight,loss_reduction,train_batch_size,train_shuffle,train_num_workers,valid_batch_size,valid_shuffle,valid_num_workers,test_batch_size,test_shuffle,test_num_workers,train_cumulated_loss,train_mean_loss,cumulated_loss,mean_loss,average_precision,roc_auc,tp,fp,fn,tn,f1,accuracy,balanced_accuracy,recall,precision,jaccard,At epoch
0,1,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,9806.749,0.8031735420227051,2388.8042,0.7593148,0.4163280662262022,0.861940051785611,28151,51564,24214,701300,0.42627195639006665,0.9058926094316027,0.7345507226083579,0.5375919029886375,0.35314558113278555,0.27086761154249533,
1,2,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,8718.196,0.7140209674835205,2347.367,0.74614334,0.43304046925017925,0.8692153372243021,29905,58513,22460,694351,0.42483822620628914,0.8994410285769638,0.7466835070014555,0.5710875584837201,0.33822298626976405,0.26971085337037104,
2,3,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,8289.985,0.6789504885673523,2154.4473,0.6848211,0.48132354775345615,0.8853736140487163,33683,65971,18682,686893,0.44314197567409336,0.8948709000793563,0.7778041345433182,0.6432349852000382,0.33799947819455317,0.28463865603028665,
3,4,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,7981.0815,0.653651237487793,2041.7588,0.64900154,0.4951380306408215,0.8895136607791984,38982,103237,13383,649627,0.4006701475969247,0.8551716344046227,0.8036514172490885,0.7444285305070181,0.2740983975418193,0.25052377218801813,
4,5,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,7756.039,0.6352202296257019,2031.9479,0.64588296,0.5009417790499788,0.8925877363020336,37241,85765,15124,667099,0.42471104116416053,0.874707691849151,0.7986314075916345,0.7111811324357873,0.3027575890606962,0.2696083399695939,
5,6,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,7570.648,0.6200366616249084,2012.2263,0.6396142,0.5090430075648571,0.8936737175298605,38883,98219,13482,654645,0.4104461462946054,0.8612804556219411,0.8060387365832002,0.742537954740762,0.283606366063223,0.2582146841629921,
6,7,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,7410.456,0.6069169640541077,2049.2012,0.6513672,0.5127084787660802,0.8953875350423015,35605,71131,16760,681733,0.4475773250953797,0.8908496837545593,0.7927291734247803,0.6799388904802827,0.3335800479688203,0.2883089330828529,
7,8,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,7298.377,0.5977376699447632,2011.0721,0.63924736,0.5182079621262603,0.8959075248162963,36751,77887,15614,674977,0.44012383011083633,0.8838827215611956,0.7991847306453908,0.7018237372290652,0.32058305273992915,0.28215305715075395,
8,9,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,7191.104,0.5889520049095154,1953.0538,0.62080544,0.5276577259507983,0.9007787186846777,38497,87855,13868,665009,0.4308151994494088,0.8736719616407258,0.8092361179377959,0.7351666189248544,0.30468057490186146,0.27454714020824417,
9,10,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,7111.1973,0.5824076533317566,1947.6035,0.619073,0.5276522507474078,0.9012067209016658,38796,90327,13569,662537,0.4275323988362867,0.8709733504381983,0.810449347534687,0.740876539673446,0.30045770312028064,0.27188630056345137,
