PDB,CHAIN,ACCESSION,EC_NUMBER
101m,A,P02185,1.11.1.-
101m,A,P02185,1.7.-.-
102l,A,P00720,3.2.1.17
102m,A,P02185,1.11.1.-
102m,A,P02185,1.7.-.-
103l,A,P00720,3.2.1.17
103m,A,P02185,1.11.1.-
103m,A,P02185,1.7.-.-
104l,A,P00720,3.2.1.17
104l,B,P00720,3.2.1.17
104m,A,P02185,1.11.1.-
104m,A,P02185,1.7.-.-
105m,A,P02185,1.11.1.-
105m,A,P02185,1.7.-.-
106m,A,P02185,1.11.1.-
106m,A,P02185,1.7.-.-
107l,A,P00720,3.2.1.17
107m,A,P02185,1.11.1.-
107m,A,P02185,1.7.-.-
108l,A,P00720,3.2.1.17
108m,A,P02185,1.11.1.-
108m,A,P02185,1.7.-.-
109l,A,P00720,3.2.1.17
109m,A,P02185,1.11.1.-
109m,A,P02185,1.7.-.-
10af,A,A0A0J9XUF2,5.2.1.8
10bm,A,Q13UJ9,6.3.4.18
10bm,B,Q13UJ9,6.3.4.18
10bm,C,Q13UJ9,6.3.4.18
10bm,D,Q13UJ9,6.3.4.18
10dc,A,P01112,3.6.5.2
10dj,A,P06241,2.7.10.2
10dj,B,P06241,2.7.10.2
10fm,A,Q5NHB4,1.2.1.3
10fm,B,Q5NHB4,1.2.1.3
10fm,C,Q5NHB4,1.2.1.3
10fm,D,Q5NHB4,1.2.1.3
10gs,A,P09211,2.5.1.18
10gs,B,P09211,2.5.1.18
10gw,A,G5EBD7,1.1.1.343
10gw,B,G5EBD7,1.1.1.343
10gw,C,G5EBD7,1.1.1.343
10gw,D,G5EBD7,1.1.1.343
10jt,A,P01116,3.6.5.2
10jt,B,P01116,3.6.5.2
10ju,A,Q582V7,2.7.1.-
10ju,B,Q582V7,2.7.1.-
10kz,A,P03952,3.4.21.34
10lr,A,P03952,3.4.21.34
10mh,A,P05102,2.1.1.37
10mv,A,P03952,3.4.21.34
10mw,A,P03952,3.4.21.34
10pw,A,Q49SB0,2.5.1.18
10pw,B,Q49SB0,2.5.1.18
10pw,C,Q49SB0,2.5.1.18
10pw,D,Q49SB0,2.5.1.18
10pw,E,Q49SB0,2.5.1.18
10pw,F,Q49SB0,2.5.1.18
10pw,G,Q49SB0,2.5.1.18
10pw,H,Q49SB0,2.5.1.18
10qq,A,P55072,3.6.4.6
10qq,B,P55072,3.6.4.6
10qq,C,P55072,3.6.4.6
10qq,D,P55072,3.6.4.6
10qq,E,P55072,3.6.4.6
10qq,F,P55072,3.6.4.6
10qq,G,P55072,3.6.4.6
10qq,H,P55072,3.6.4.6
10qq,I,P55072,3.6.4.6
10qq,J,P55072,3.6.4.6
10qq,K,P55072,3.6.4.6
10qq,L,P55072,3.6.4.6
10qr,A,P55072,3.6.4.6
