,PDB,CHAIN,SP_PRIMARY,RES_BEG,RES_END,PDB_BEG,PDB_END,SP_BEG,SP_END
160,10mh,A,P05102,1,327,1,327,1,327
422,11bg,A,P00669,1,124,1,124,27,150
423,11bg,B,P00669,1,124,1,124,27,150
514,12gs,A,P09211,1,210,,209,1,210
515,12gs,B,P09211,1,210,,209,1,210
526,13gs,A,P09211,1,210,0,209,1,210
527,13gs,B,P09211,1,210,,209,1,210
943,17gs,A,P09211,1,210,0,209,1,210
944,17gs,B,P09211,1,210,,209,1,210
969,19gs,A,P09211,1,209,,209,2,210
970,19gs,B,P09211,1,209,,209,2,210
1120,1a26,A,P26446,2,361,,,652,1011
1121,1a27,A,P14061,1,289,1,,2,290
1124,1a29,A,P62157,1,148,,,2,149
1133,1a2b,A,P61586,2,182,,181,1,181
1147,1a2n,A,P0A749,1,419,1,,1,419
1237,1a42,A,P00918,1,259,,,2,260
1271,1a4i,A,P11586,1,301,,,1,301
1272,1a4i,B,P11586,1,301,,,1,301
1277,1a4l,A,P03958,1,349,4,352,4,352
1278,1a4l,B,P03958,1,349,504,852,4,352
1279,1a4l,C,P03958,1,349,1004,1352,4,352
1280,1a4l,D,P03958,1,349,1504,1852,4,352
1293,1a4r,A,P60953,1,191,1,,1,191
1294,1a4r,B,P60953,1,191,201,,1,191
1303,1a4w,H,P00734,1,259,16,,364,622
1304,1a4w,I,P09945,1,12,,,60,71
1305,1a4w,L,P00734,1,36,,,328,363
1312,1a4z,A,P20000,1,499,,500,22,520
1313,1a4z,B,P20000,1,499,,500,22,520
1314,1a4z,C,P20000,1,499,,500,22,520
1315,1a4z,D,P20000,1,499,,500,22,520
1316,1a50,A,P00929,1,268,,,1,268
1317,1a50,B,P0A2K1,1,396,2,,2,397
1326,1a59,A,O34002,1,378,,378,2,379
1329,1a5b,A,P00929,1,268,1,268,1,268
1330,1a5b,B,P0A2K1,1,397,,,1,397
1363,1a5s,A,P00929,1,268,,,1,268
1364,1a5s,B,P0A2K1,1,397,,,1,397
1366,1a5u,A,P11974,1,530,,530,2,531
1367,1a5u,B,P11974,1,530,,1130,2,531
1368,1a5u,C,P11974,1,530,,1730,2,531
1369,1a5u,D,P11974,1,530,,2330,2,531
1370,1a5u,E,P11974,1,530,,3530,2,531
1371,1a5u,F,P11974,1,530,,4130,2,531
1372,1a5u,G,P11974,1,530,,4730,2,531
1373,1a5u,H,P11974,1,530,,5330,2,531
1390,1a69,A,P0ABP8,1,238,1,,2,239
1391,1a69,B,P0ABP8,1,238,1,,2,239
1392,1a69,C,P0ABP8,1,238,1,,2,239
1429,1a71,A,P00327,1,374,1,374,2,375
1430,1a71,B,P00327,1,374,1,374,2,375
1431,1a72,A,P00327,1,374,1,374,2,375
1462,1a7k,A,Q27890,1,360,1,,2,361
1463,1a7k,B,Q27890,1,360,1,,2,361
1464,1a7k,C,Q27890,1,360,1,,2,361
1465,1a7k,D,Q27890,1,360,1,,2,361
1488,1a7x,A,P62942,1,107,1,107,2,108
1489,1a7x,B,P62942,1,107,1,107,2,108
1490,1a80,A,P06632,1,277,2,278,2,278
1516,1a8g,A,P03367,1,99,1,99,501,599
1517,1a8g,B,P03367,1,99,1,99,501,599
1522,1a8k,A,P03367,1,99,1,99,501,599
1523,1a8k,B,P03367,1,99,1,99,501,599
1524,1a8k,D,P03367,1,99,1,99,501,599
1525,1a8k,E,P03367,1,99,1,99,501,599
1531,1a8p,A,Q44532,1,258,,258,1,258
1533,1a8r,A,P0A6T5,1,221,1,221,2,222
1534,1a8r,B,P0A6T5,1,221,1,221,2,222
1535,1a8r,C,P0A6T5,1,221,1,221,2,222
1536,1a8r,D,P0A6T5,1,221,1,221,2,222
1537,1a8r,E,P0A6T5,1,221,1,221,2,222
1538,1a8r,F,P0A6T5,1,221,1,221,2,222
1539,1a8r,G,P0A6T5,1,221,1,221,2,222
1540,1a8r,H,P0A6T5,1,221,1,221,2,222
1541,1a8r,I,P0A6T5,1,221,1,221,2,222
1542,1a8r,J,P0A6T5,1,221,1,221,2,222
1543,1a8r,K,P0A6T5,1,221,1,221,2,222
1544,1a8r,L,P0A6T5,1,221,1,221,2,222
1545,1a8r,M,P0A6T5,1,221,1,221,2,222
1546,1a8r,N,P0A6T5,1,221,1,221,2,222
1547,1a8r,O,P0A6T5,1,221,1,221,2,222
1549,1a8t,A,P25910,1,232,1,,18,249
1550,1a8t,B,P25910,1,232,,,18,249
1565,1a94,A,P03367,1,99,1,99,501,599
1566,1a94,B,P03367,1,99,1,99,501,599
1567,1a94,D,P03367,1,99,1,99,501,599
1568,1a94,E,P03367,1,99,1,99,501,599
1591,1a9c,A,P0A6T5,1,221,1,221,2,222
1592,1a9c,B,P0A6T5,1,221,1,221,2,222
1593,1a9c,C,P0A6T5,1,221,1,221,2,222
1594,1a9c,D,P0A6T5,1,221,1,221,2,222
1595,1a9c,E,P0A6T5,1,221,1,221,2,222
1596,1a9c,F,P0A6T5,1,221,1,221,2,222
1597,1a9c,G,P0A6T5,1,221,1,221,2,222
1598,1a9c,H,P0A6T5,1,221,1,221,2,222
1599,1a9c,I,P0A6T5,1,221,1,221,2,222
1600,1a9c,J,P0A6T5,1,221,1,221,2,222
1601,1a9c,K,P0A6T5,1,221,1,221,2,222
1602,1a9c,L,P0A6T5,1,221,1,221,2,222
1603,1a9c,M,P0A6T5,1,221,1,221,2,222
1604,1a9c,N,P0A6T5,1,221,1,221,2,222
1605,1a9c,O,P0A6T5,1,221,1,221,2,222
1608,1a9m,A,P03366,1,99,1,99,501,599
1609,1a9m,B,P03366,1,99,1,99,501,599
1615,1a9p,A,P55859,1,289,1,289,1,289
1616,1a9q,A,P55859,1,282,1,282,1,282
1617,1a9r,A,P55859,1,282,1,282,1,282
1618,1a9s,A,P55859,1,289,1,,1,289
1619,1a9t,A,P55859,1,284,1,284,1,284
1626,1a9x,A,P00968,1,1073,1,1073,1,1073
1627,1a9x,B,P0A6F1,1,379,1502,1880,2,380
1628,1a9x,C,P00968,1,1073,2001,3073,1,1073
1629,1a9x,D,P0A6F1,1,379,3502,3880,2,380
1630,1a9x,E,P00968,1,1073,4001,5073,1,1073
1631,1a9x,F,P0A6F1,1,379,5502,5880,2,380
1632,1a9x,G,P00968,1,1073,6001,7073,1,1073
1633,1a9x,H,P0A6F1,1,379,7502,7880,2,380
1634,1a9y,A,P09147,1,338,1,338,1,338
1635,1a9z,A,P09147,1,338,1,338,1,338
1648,1aa6,A,P07658,1,715,1,715,1,715
1735,1acj,A,P04058,1,535,,535,22,556
1754,1ad3,A,P11883,2,452,2,,3,453
