id,f1,auc,ap,acc,bacc,prec,rec,jac,n,scope,scope_class,scope_subclass,ec,ec_class,ec_subclass,organism,reign
3ch6_2,0.2896551724137931,0.8358372818675603,0.18503018963704326,0.8103130755064457,0.7204148850109788,0.1891891891891892,0.6176470588235294,0.1693548387096774,543,l.1.1.1,l,l.1,1.1.1.146,1,1.1,Homo sapiens,Eukaryota
2uwd_1,0.5691056910569106,0.8845284237726099,0.6119298824481234,0.7451923076923077,0.8349483204134367,0.40229885057471265,0.9722222222222222,0.3977272727272727,208,d.122.1.1,d,d.122,3.6.4.10,3,3.6,Homo sapiens,Eukaryota
2r8o_1,0.3793103448275862,0.9134973679541017,0.3477813049045688,0.9187358916478555,0.7768379960962914,0.2727272727272727,0.6226415094339622,0.23404255319148937,1329,c.48.1.1,c,c.48,2.2.1.1,2,2.2,Escherichia coli,Bacteria
2bel_4,0.1891891891891892,0.7527062999112689,0.10588279859506362,0.8801198801198801,0.6487577639751553,0.12389380530973451,0.4,0.1044776119402985,1001,l.1.1.1,l,l.1,1.1.1.146,1,1.1,Homo sapiens,Eukaryota
2g0n_2,0.45454545454545453,0.8978675645342312,0.4147141454725826,0.7983193277310925,0.8480639730639731,0.30303030303030304,0.9090909090909091,0.29411764705882354,357,l.1.1.1,l,l.1,3.6.5.2,3,3.6,Homo sapiens,Eukaryota
4bkj_2,0.5794392523364486,0.9339565129038813,0.7396479233055868,0.8484848484848485,0.8345356634830319,0.4492753623188406,0.8157894736842105,0.40789473684210525,297,l.1.1.1,l,l.1,2.7.10.1,2,2.7,Homo sapiens,Eukaryota
3eei_1,0.38823529411764707,0.902066772655008,0.40162708569013145,0.7748917748917749,0.8282988871224165,0.24812030075187969,0.8918918918918919,0.24087591240875914,462,c.56.2.1,c,c.56,3.2.2.9,3,3.2,Neisseria meningitidis,Bacteria
4bgq_1,0.6923076923076923,0.9941990182954038,0.9611569292864317,0.9130434782608695,0.9518072289156627,0.5294117647058824,1.0,0.5294117647058824,276,d.144.1.0,d,d.144,2.7.11.22,2,2.7,Homo sapiens,Eukaryota
3s4q_1,0.6024096385542169,0.9572861723032371,0.7637982038850022,0.8987730061349694,0.8361257627469232,0.5,0.7575757575757576,0.43103448275862066,326,d.144.1.7,d,d.144,2.7.11.24,2,2.7,Homo sapiens,Eukaryota
1hzj_1,0.30357142857142855,0.8587577297254717,0.17629414197521565,0.7739130434782608,0.8199220134704006,0.1837837837837838,0.8717948717948718,0.17894736842105263,690,c.2.1.2,c,c.2,5.1.3.2,5,5.1,Homo sapiens,Eukaryota
4dlj_2,0.675,0.9943665348196092,0.9481185671245278,0.9226190476190477,0.9579288025889967,0.5094339622641509,1.0,0.5094339622641509,336,d.144.1.7,d,d.144,2.7.11.24,2,2.7,Homo sapiens,Eukaryota
1be4_1,0.1527777777777778,0.7349848331648129,0.132505385632773,0.7306843267108167,0.6112234580384226,0.09090909090909091,0.4782608695652174,0.08270676691729323,453,d.58.6.1,d,d.58,2.7.11.1,2,2.7,Bos taurus,Eukaryota
3ee2_1,0.47368421052631576,0.9106806564433683,0.6322450990868358,0.797979797979798,0.8240516545601291,0.32727272727272727,0.8571428571428571,0.3103448275862069,198,,-,-,2.5.1.18,2,2.5,Homo sapiens,-
3zkb_14,0.3522727272727273,0.864312391623316,0.2555560158697461,0.8492063492063492,0.7969187675070029,0.23134328358208955,0.7380952380952381,0.21379310344827587,756,d.122.1.0,d,d.122,5.6.2.2,5,5.6,Mycobacterium tuberculosis,Bacteria
2r9e_3,0.24,0.7867847411444141,0.15527636011152474,0.9499341238471674,0.6070572207084468,0.24,0.24,0.13636363636363635,1518,a.103.1.1,a,a.103,2.3.3.16,2,2.3,Thermoplasma acidophilum,Archaea
